figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	115.418	2.06227392072375
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	29.6795	1.47245804354219
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	37.48175	1.57382101831401
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	56.93525	1.7553819947427
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.4842	1.21707050970835
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.7956	1.07172371861006
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	22.559	1.35332176938797
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.349	1.01490258341334
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.4667	1.05944223775834
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	92.0936	1.96422992174062
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.485	0.977041913951013
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.28428	0.967752907368303
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	19.7558	1.29569681919238
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	258.0515	2.41170655617488
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.2602	1.05154996126213
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	272.5845	2.43550131619438
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	19.6422	1.29319233980657
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	224.964	2.35211321848531
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	70.5629	1.84857703663268
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	44.0844	1.64428591945125
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.13315	0.853287445066226
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	30.6574	1.48653673693478
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	21.3432	1.32926156883679
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.3239	0.800991861260171
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	13.41	1.12743201642626
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	87.5859	1.94243469282729
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.7232	1.10459976743784
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	35.1645	1.54610568164475
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	22.4335	1.35089897196376
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	19.2522	1.28448262047517
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	94.7092	1.97639262673688
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.14957	0.854285996977801
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	60.801	1.78391143650314
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	284.419	2.45395875783155
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	23.7424	1.37552644667589
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	55.3481	1.7431035015873
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	52.2931	1.71844521860953
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	88.06355	1.94479668182766
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.0726	1.30260579382451
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	15.1193	1.17953455691522
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	100.1665	2.00072293257109
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	109.531	2.03953744922815
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.03175	1.08033240897078
