pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
stringtie_sq3	ref_evl	es_cdna_ont	mouse	TP	isoform_cov	19	1.00019690856476	0.011330286598782	1.00025947067981	1	1.00249241856703	0.00249241856703453
stringtie_sq3	ref_evl	es_cdna_ont	mouse	PTP	isoform_cov	5	0.904169302335603	0.0474484097328197	0.912221755564889	0.859691563350469	0.929957617666741	0.0702660543162723
stringtie_sq3	ref_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	39	0.698295541526131	0.508949006014598	0.557602490918526	0.399015190566559	0.851256530074446	0.452241339507887
stringtie_sq3	ref_evl	es_cdna_pacbio	mouse	TP	isoform_cov	37	0.985413196890987	0.0605598156186199	1	0.992597162245527	1	0.00740283775447259
stringtie_sq3	ref_evl	es_drna_ont	mouse	TP	isoform_cov	23	0.957248549146888	0.148888197081349	1	0.990603127589429	1.0006214251826	0.010018297593168
stringtie_sq3	ref_evl	wtc11_captrap_ont	human	PTP	isoform_cov	6	0.57855220813998	0.274620284523988	0.605275307680549	0.481829553804307	0.767005905946289	0.285176352141982
stringtie_sq3	ref_evl	wtc11_captrap_ont	human	TP	isoform_cov	14	1.00137250480753	0.00357598445320296	1	1	1.00336674526625	0.00336674526624758
stringtie_sq3	ref_evl	wtc11_captrap_pacbio	human	PTP	isoform_cov	5	0.4513637291767	0.241348366000616	0.480162391585163	0.37201147593242	0.590107229332411	0.218095753399991
stringtie_sq3	ref_evl	wtc11_captrap_pacbio	human	TP	isoform_cov	12	0.769224534413893	0.355416175393583	0.987972508591065	0.577432056545571	1.00029976019185	0.422867703646276
stringtie_sq3	ref_evl	wtc11_cdna_ont	human	TP	isoform_cov	17	0.956583658214695	0.167572402794734	1	0.999907140867304	1.00351906158358	0.00361192071627336
stringtie_sq3	ref_evl	wtc11_cdna_ont	human	PTP	isoform_cov	4	0.695743953895382	0.236625887052934	0.669105907746926	0.506833099616733	0.858016762025575	0.351183662408841
stringtie_sq3	ref_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	16	0.737335025416388	0.475666151192344	0.734205420775543	0.272224731126047	1.06577816756493	0.793553436438884
stringtie_sq3	ref_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	31	0.966350083450647	0.169502548690171	1	0.998489216849453	1	0.00151078315054676
stringtie_sq3	ref_evl	wtc11_drna_ont	human	TP	isoform_cov	19	0.929073280398267	0.21298986656028	1	1	1.00015220700152	0.000152207001522076
stringtie_sq3	ref_evl	wtc11_drna_ont	human	PTP	isoform_cov	1	1.07273768613975		1.07273768613975	1.07273768613975	1.07273768613975	0
bambu_sq3	novel_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	16	0.725178394156317	0.3173309685529	0.875970525691113	0.503940305452387	0.988826750329644	0.484886444877258
bambu_sq3	novel_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	18	0.773792705615377	0.280482281992054	0.944711288961783	0.546032218492145	0.994516496260935	0.448484277768791
